INT_NO,INT_NAME,SA_NO,INT_LAT,INT_LNG,IS_SMART
538,도촌 수산횟집 앞,0,37.41575,127.15064,
539,도촌북로 사거리,0,37.41672,127.15094,
540,도촌우체국 삼거리,0,37.41709,127.15306,
541,도촌파출소 사거리,0,37.41737,127.15531,
542,도촌종합복지관삼거리,0,37.41518,127.15948,
543,901동앞 삼거리,0,37.41253,127.1634,
544,영생사업소 입구,0,37.4198,127.18303,
545,추모원 주차장입구,0,37.42085,127.1827,
546,장례식장 주차장입구,0,37.42182,127.18233,
547,마지로 신호등 1,0,37.42831,127.13139,
548,마지로 신호등 2,0,37.42817,127.13242,
549,마지로 신호등 3,0,37.4282,127.1337,
550,마지로 신호등 4,0,37.42832,127.13591,
551,보육시설 삼거리,0,37.44251,127.15655,
552,힐스테이 삼거리,0,37.43575,127.14989,
553,시청광장 삼거리,0,37.41879,127.12715,
554,시청정문 사거리,0,37.41879,127.12569,
555,시청공원 삼거리,0,37.41759,127.12456,
556,센트럴타운 사거리,0,37.41878,127.13063,
557,여수초교 삼거리,0,37.41877,127.13241,
558,여수공원 삼거리,0,37.41877,127.13394,
559,연꽃마을4단지 사거리,0,37.41866,127.13547,
560,옥토교회 사거리,0,37.4179,127.13735,
561,공영주차장 단일로,0,37.45737,127.16553,
562,은행2동주민센타 삼거리,0,37.45675,127.16663,
563,이원빌라 사거리,0,37.45613,127.16775,
564,두산아파트 사거리,0,37.45455,127.16387,
565,상원초교 입구,0,37.45477,127.16258,
566,모란 LH 1단지 정문,0,37.43075,127.12607,
567,한신병원앞,0,37.4332,127.131,0
568,모란시장 삼거리,0,37.42996,127.12798,
569,모란시장 단일로,0,37.42983,127.12709,
570,모란주차장사거리,0,37.42969,127.12613,
571,모란공원 단일로,0,37.42959,127.12452,
572,도촌중 단일로,0,37.41672,127.15526,
573,청진동 수산횟집앞,0,37.43441,127.15874,
574,지식산업센타 사거리,0,37.44031,127.17424,
575,금광지구 8번게이트,0,37.44289,127.16712,
576,오복슈퍼앞,0,37.45014,127.16613,
577,상대원초교 정문,0,37.44278,127.18114,
578,도촌스위첸앞,0,37.41454,127.1539,
579,도촌9단지 정문,0,37.41194,127.16294,
580,한양수자인,0,37.44769,127.17192,
581,스타타워 사거리,0,37.43436,127.17666,
582,슈페리어 단일로,0,37.43333,127.17897,
583,상대원 터널,0,37.42791,127.17951,
584,상대원 터널 우회전전용,0,37.42811,127.17991,
585,호반아파트 후문,0,37.42895,127.09436,
586,호반아파트 정문,0,37.42999,127.09621,
587,고등마을,0,37.43036,127.09896,
588,고등지구대,0,37.43022,127.10068,
589,청구아파트,0,37.44327,127.15089,
590,두산아파트,0,37.44398,127.14961,0
591,한신아파트 후문,0,37.445,127.15082,
592,희망대사거리,0,37.44482,127.14799,0
593,희망대초교,0,37.44662,127.14941,
594,구)신흥시장길,0,37.44559,127.14657,
595,태평제일교회,0,37.44781,127.1439,
596,신흥성당,0,37.44871,127.14306,
597,신흥초교,0,37.44954,127.14355,
598,성남여중,0,37.44937,127.14247,
599,가일빌딩(나나헤어),0,37.44446,127.1287,
600,태평초교,0,37.44535,127.13168,
601,태평3동 행정복지센터,0,37.4456,127.13256,
602,통보2차 아파트,0,37.44664,127.13612,
603,영락교회,0,37.44699,127.13723,
604,금빛초교 정문,0,37.4475,127.13897,
605,금빛초교 후문,0,37.44798,127.14062,
606,논골도서관,0,37.45625,127.16019,
607,양지아파트,0,37.45698,127.15943,
608,단대제1공영주차장,0,37.45872,127.15853,
609,문원중학교,0,37.46111,127.15798,
610,성보경영고,0,37.4624,127.15797,
611,푸르지오 입구,0,37.45104,127.15885,
612,푸르지오 정문,0,37.45134,127.15761,
613,진로아파트,0,37.45159,127.15681,
614,단대초교,0,37.45295,127.15661,
615,단대지구대,0,37.45252,127.15812,
616,구)목넴기,0,37.40916,127.09803,
617,남산마을,0,37.40883,127.09725,
618,구)금토슈퍼,0,37.40868,127.09621,
619,창조벨리,0,37.40863,127.09557,
620,판교임시IC,0,37.40856,127.09491,
621,금토1통,0,37.41722,127.08102,
622,금토동 삼거리,0,37.41092,127.09947,
623,창조벨리 삼거리,0,37.41221,127.09973,
624,세종연구소 삼거리,0,37.41631,127.1016,
625,시흥사거리,0,37.42232,127.10205,
626,고등소방서,0,37.42354,127.10215,
627,구) 고등주민센터,0,37.42446,127.1022,
628,사송동 차고지,0,37.41539,127.11476,
629,수자원공사입구,0,37.41451,127.11349,
630,사송교차로,0,37.41172,127.11403,
631,단대오거리,0,37.44507,127.15681,1
632,구)단대동주민센터,0,37.44816,127.15835,
633,금광시장,0,37.45086,127.15952,
634,법원,0,37.452,127.16004,
635,중앙병원,0,37.45413,127.16098,1
636,상원초교,0,37.4552,127.1618,
637,은행지구대,0,37.45707,127.16339,
638,은행시장,0,37.45804,127.16423,
639,을지대 정문,0,37.45986,127.16577,
640,을지대 후문,0,37.46148,127.16751,
641,양지지구대,0,37.46266,127.16916,
642,남한산성 유원지,0,37.46355,127.17029,
643,모란고개,0,37.43654,127.12838,
644,태평역,0,37.43974,127.12775,1
645,수정경찰서,0,37.44181,127.12739,
646,태평고개,0,37.44395,127.12701,
647,구)성남병원,0,37.44794,127.12673,1
648,가천대,0,37.45057,127.12662,
649,복정초소,0,37.45352,127.12652,
650,복정지구대,0,37.45628,127.12629,
651,동서울대,0,37.45976,127.12585,1
652,복정초교,0,37.46185,127.12944,
653,국제학교,0,37.46545,127.12629,1
654,삼정그린뷰아파트,0,37.43999,127.12145,
655,삼부아파트 후문,0,37.43952,127.12436,
656,삼부아파트,0,37.4395,127.12589,
657,곽생로,0,37.44049,127.13028,
658,중앙시장,0,37.44093,127.13181,
659,한국관,0,37.44144,127.13346,
660,탄리사거리,0,37.44221,127.13613,
661,구)시청,0,37.44309,127.13906,
662,의료원 장례식장,0,37.44385,127.13869,
663,의료원 정문,0,37.44407,127.1385,
664,외환은행,0,37.44356,127.14065,
665,숯골사거리,0,37.44409,127.14248,1
666,성남초교(단),0,37.44494,127.14405,
667,성남초교(4),0,37.44636,127.14541,1
668,구)청직이약국,0,37.44811,127.14531,
669,신흥2동 주민센터,0,37.4491,127.14584,
670,수정구청,0,37.44962,127.14624,
671,포레스티아 서문,0,37.45063,127.14702,
672,포레스티아 중문,0,37.45227,127.14934,1
673,포레스티아 동문 삼거리,0,37.45406,127.14971,
674,산성역,0,37.45642,127.15006,1
675,폴리텍,0,37.45869,127.15196,
676,변전소,0,37.46225,127.15521,
677,청산골,0,37.4409,127.14395,
678,구)시청고개,0,37.44208,127.14342,
679,왕남초교 주차장 삼거리,0,37.42777,127.09895,
680,왕남초교 정문,0,37.42786,127.09827,
681,여수대교 사거리,0,37.42205,127.11668,1
682,시흥동주민센터 삼거리,0,37.42241,127.10856,
683,농협물류창고 삼거리,0,37.42238,127.10527,
684,수성교,0,37.43512,127.13449,
685,수진소방서,0,37.43649,127.13384,
686,Yes 할인마트,0,37.43769,127.1333,
687,공주보일러,0,37.43896,127.1327,
688,태평로약국,0,37.44238,127.13113,
689,서광모터스,0,37.44308,127.1308,
690,하나님의교회,0,37.44411,127.13033,
691,한전사거리,0,37.44483,127.12997,
692,태평중학교,0,37.4462,127.12936,
693,태평3동 공영주차장,0,37.44682,127.12906,
694,LH 기업성장센터 사거리,0,37.41081,127.09487,
695,디어스빌딩 앞 삼거리,0,37.41256,127.09887,
696,경기 기업성장센터 삼거리,0,37.41209,127.09561,
697,판교 기업성장센터 사거리,0,37.41134,127.09495,
698,풍경채 입구,0,37.42564,127.10041,
699,토끼굴,0,37.4261,127.09714,
700,아이비빌딩,0,37.42713,127.09501,
701,정혜사,0,37.42803,127.09346,
702,고등IC,0,37.42956,127.09079,
703,적푸리마을,0,37.43361,127.08478,
704,신구대식물원,0,37.43214,127.08167,
705,청계산주유소,0,37.43071,127.07334,
706,청계산장,0,37.43052,127.07174,
707,탄천교차로,0,37.41867,127.11755,
708,선사교회,0,37.42024,127.11703,
709,둔전교,0,37.42736,127.11654,
710,비닐하우스,0,37.4302,127.1202,
711,탄천주차장 정문,0,37.4422,127.11968,
712,탄천주차장 후문(탄천한우),0,37.44346,127.11971,
713,탄천대교 사거리,0,37.45775,127.11952,
714,경원진지,0,37.45186,127.12105,
715,능골공원,0,37.4491,127.12044,
716,수질복원센터 후문,0,37.4589,127.12104,
717,수질복원센터 정문,0,37.46024,127.12446,
718,수진동행정복지센터,0,37.43869,127.13921,
719,성체유치원,0,37.43916,127.13776,
720,은서유치원,0,37.44357,127.1355,
721,순온천사우나,0,37.44439,127.13511,
722,태평오거리,0,37.4461,127.1343,
723,쌍용아파트,0,37.44797,127.12775,
724,동부센트레빌,0,37.44804,127.12852,
725,성남서초,0,37.44834,127.12956,
726,두산위브,0,37.44966,127.13401,
727,위례부영아파트,0,37.46057,127.14543,
728,위례소방서,0,37.46161,127.14359,
729,미도아파트,0,37.44647,127.15542,
730,세무서,0,37.44686,127.15503,
731,청소년수련원,0,37.44948,127.15321,
732,혜은학교,0,37.44995,127.15261,
733,현대자동차공업사,0,37.45039,127.152,
734,북초교,0,37.45086,127.15132,
735,양지근린공원 임시 단일로,0,37.4629,127.16197,0
736,풍경채 정문 사거리,0,37.42739,127.1007,
737,왕남초교 삼거리,0,37.42816,127.10089,
738,5171부대 삼거리,0,37.42055,127.10217,
739,구)고등동 삼거리,0,37.42564,127.10233,
740,구)고등사거리,0,37.42807,127.10193,
741,대왕주유소 삼거리,0,37.42995,127.10205,
742,등자리마을 삼거리,0,37.43498,127.10356,
743,한성대 삼거리,0,37.43258,127.10311,
744,제2정문 삼거리,0,37.43848,127.10371,
745,우정아파트 삼거리,0,37.44464,127.10373,
746,공군아파트 삼거리,0,37.44611,127.10401,
747,서울공항 정문 사거리,0,37.44851,127.10497,
748,효성고 단일로,0,37.44952,127.10542,
749,오야실마을 삼거리,0,37.45491,127.10686,
750,미군부대 삼거리,0,37.45789,127.10736,
751,신촌동 삼거리,0,37.45994,127.10763,
752,성남서중,0,37.44775,127.1542,
753,램프구간 하부,0,37.45344,127.17281,
754,창곡사거리,0,37.46316,127.14072,1
